modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5934065934065934,0.5677463224363685,0.6103092783505155,0.41887905604719766,0.6740506329113924,0.6898377537727356,0.5298058913392513,0.03983516483516483,-0.04120879120879117,-0.0470348603898878,0.05921363830566406,-0.10039095611744031
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6414835164835165,0.619228251459792,0.676595744680851,0.478134110787172,0.702954898911353,0.638651967048645,0.6232639591166379,0.03296703296703297,0.006868131868131955,0.004447068633535722,0.008027851581573486,-0.006932888340053678
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.570054945054945,0.5408515947754302,0.574468085106383,0.3834808259587021,0.6646058732612056,0.7160238027572632,0.4786468972883783,0.03983516483516483,-0.06456043956043955,-0.07392958805082606,0.08539968729019165,-0.1515499501683133
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6304945054945055,0.6070558853390842,0.6680851063829787,0.4540229885057471,0.6990595611285266,0.6345024704933167,0.6253855007859543,0.024725274725274724,-0.004120879120879106,-0.0077252974871721,0.003878355026245117,-0.004811346670737238
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.635989010989011,0.6146624330484954,0.6652360515021459,0.4732394366197183,0.705511811023622,0.6392863988876343,0.6240997347583148,0.0260989010989011,0.0013736263736263687,-0.00011874977776082929,0.008662283420562744,-0.006097112698376761
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5728021978021978,0.5409416684865085,0.5817409766454352,0.37237237237237236,0.6687116564417178,0.7263253331184387,0.4709421806485566,0.03708791208791209,-0.061813186813186816,-0.07383951433974778,0.09570121765136719,-0.159254666808135
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5755494505494505,0.5460371130054104,0.5835095137420718,0.3869047619047619,0.6676970633693973,0.7267785668373108,0.47360006177579894,0.0521978021978022,-0.05906593406593408,-0.06874406982084591,0.09615445137023926,-0.15659678568089264
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.6318681318681318,0.6086905141290497,0.6695095948827292,0.4619883040935672,0.6945736434108527,0.6422556042671204,0.6201342496715821,0.03296703296703297,-0.0027472527472527375,-0.006090668697206536,0.011631488800048828,-0.010062597785109428
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6263736263736264,0.6037561987452197,0.6547884187082406,0.44931506849315067,0.7071651090342679,0.6380243301391602,0.6000416553539691,0.0260989010989011,-0.008241758241758212,-0.011024984081036582,0.007400214672088623,-0.03015519210272244
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6318681318681318,0.6118882326116408,0.6709401709401709,0.47058823529411764,0.694136291600634,0.6292610764503479,0.6314564951919982,0.024725274725274724,-0.0027472527472527375,-0.0028929502146154418,-0.0013630390167236328,0.0012596477353066238
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6318681318681318,0.6122550323667643,0.6666666666666666,0.4748603351955307,0.6952380952380952,0.6296429634094238,0.6314025440488874,0.02197802197802198,-0.0027472527472527375,-0.002526150459492005,-0.000981152057647705,0.0012056965921958263
