modalities,position,ratio,seeds,baseline_accuracy,augmented_accuracy,delta_accuracy,baseline_macro_f1,augmented_macro_f1,delta_macro_f1,baseline_mae,augmented_mae,delta_mae,baseline_pearson,augmented_pearson,delta_pearson
T,front,0.5,3,0.548992673992674,0.5581501831501832,0.009157509157509125,0.5342036869661619,0.5411223621154669,0.006918675149304998,0.6730482379595438,0.678443431854248,0.00539519389470422,0.4868796770779814,0.47934650828618947,-0.007533168791791944
T,middle,0.1,3,0.5906593406593407,0.6043956043956045,0.013736263736263798,0.5711119472129548,0.5835911394627062,0.01247919224975147,0.6175399422645569,0.61419810851415,-0.003341833750406864,0.5975138264420393,0.5887227381137825,-0.008791088328256813
T,middle,0.3,3,0.592948717948718,0.5934065934065934,0.00045787545787545625,0.5783480375624735,0.5763507883959715,-0.001997249166502013,0.62850022315979,0.631996750831604,0.003496527671813965,0.557525515679976,0.5476807941244247,-0.009844721555551272
T,middle,0.5,3,0.5265567765567766,0.5402930402930403,0.013736263736263687,0.5151652779413785,0.528455925952047,0.013290648010668593,0.6673425833384196,0.672307014465332,0.004964431126912472,0.5041546888756514,0.5016295302829417,-0.002525158592709742
TA,back,0.1,3,0.5773809523809523,0.5833333333333334,0.005952380952381042,0.5530338122830663,0.5596512473443698,0.006617435061303523,0.6289470195770264,0.6272537509600321,-0.001693268616994259,0.5922512978237823,0.5826009303981349,-0.0096503674256474
TA,back,0.3,3,0.5755494505494505,0.5686813186813187,-0.006868131868131844,0.5542159164860425,0.5442703647094775,-0.009945551776564976,0.6369154453277588,0.6412222385406494,0.004306793212890625,0.5841749517172646,0.5688555857712556,-0.015319365946009023
TA,back,0.5,3,0.5453296703296703,0.554945054945055,0.009615384615384692,0.5231469379761322,0.5329241967964748,0.009777258820342638,0.6683700084686279,0.6728180249532064,0.0044480164845784875,0.5122351235854776,0.5063205040248326,-0.005914619560644985
TA,front,0.1,3,0.5892857142857143,0.6021062271062271,0.012820512820512775,0.5703549732087921,0.5809519686229692,0.010596995414177024,0.6184141635894775,0.6188282569249471,0.0004140933354696008,0.6104736073870601,0.6029783478116302,-0.007495259575429958
TA,front,0.3,3,0.5695970695970696,0.5705128205128205,0.0009157509157509125,0.55485527413958,0.553749480818125,-0.0011057933214549953,0.6487391591072083,0.6543737252553304,0.005634566148122189,0.5367561734722301,0.5257764114685168,-0.010979762003713311
TA,front,0.5,3,0.5425824175824175,0.5558608058608059,0.013278388278388342,0.5289653940102745,0.540588189331422,0.011622795321147517,0.67604527870814,0.6830987930297852,0.007053514321645138,0.48472049009169355,0.4749087105833741,-0.009811779508319463
TA,middle,0.1,3,0.5897435897435898,0.603021978021978,0.013278388278388231,0.570050673492748,0.581914299114929,0.011863625622181018,0.6158690452575684,0.6122872630755106,-0.0035817821820577356,0.5992700643437755,0.5907314544864879,-0.008538609857287605
TA,middle,0.3,3,0.5897435897435898,0.5915750915750916,0.001831501831501825,0.5744610212083003,0.5743868601349108,-7.41610733895337e-05,0.6272148291269938,0.6303455829620361,0.0031307538350423547,0.559235429303979,0.550429559565691,-0.008805869738288008
TA,middle,0.5,3,0.5343406593406593,0.5402930402930404,0.005952380952381042,0.5223096430242629,0.5270534314495497,0.004743788425286888,0.666746457417806,0.6716684699058533,0.004922012488047245,0.5071877765313417,0.5047438203993981,-0.002443956131943592
TV,back,0.1,3,0.5782967032967034,0.5778388278388279,-0.00045787545787545625,0.5544779189140258,0.5531039731254547,-0.0013739457885710848,0.6286539832750956,0.627290685971578,-0.0013632973035175855,0.5937439423922605,0.5840277411335905,-0.00971620125867001
TV,back,0.3,3,0.5732600732600732,0.5673076923076923,-0.005952380952380931,0.5533979916367379,0.5444681438013759,-0.008929847835361993,0.6342573165893555,0.6395496129989624,0.005292296409606934,0.5857055472426012,0.5710410597544836,-0.01466448748811755
TV,back,0.5,3,0.5471611721611722,0.5627289377289377,0.015567765567765512,0.5284611774132273,0.5407246110275796,0.012263433614352337,0.6638172268867493,0.6685630679130554,0.004745841026306152,0.5185521358101629,0.5114066369195328,-0.007145498890630098
TV,front,0.1,3,0.5943223443223443,0.6016483516483516,0.0073260073260073,0.5737814531680906,0.578917740711787,0.005136287543696438,0.6181918183962504,0.6173305511474609,-0.0008612672487894324,0.6114120722235992,0.6045012854161315,-0.006910786807467706
TV,front,0.3,3,0.5645604395604396,0.5695970695970696,0.005036630036630019,0.5479989507698666,0.5499480099221251,0.0019490591522585143,0.6458370486895243,0.6493086417516073,0.0034715930620830004,0.5405882600306385,0.5314530434516245,-0.00913521657901406
