modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5824175824175825,0.5558319816384333,0.6021978021978022,0.4046920821114369,0.6606060606060606,0.6687837839126587,0.5310509977133874,0.03296703296703297,-0.050824175824175755,-0.06221701614596631,0.05882292985916138,-0.10284540983126245
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6332417582417582,0.6157467341117887,0.6545454545454545,0.49066666666666664,0.7020280811232449,0.6132677793502808,0.6326621368100153,0.027472527472527472,0.0,-0.0023022636726108825,0.0033069252967834473,-0.0012342707346345572
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5741758241758241,0.5484720242680307,0.5701357466063348,0.40555555555555556,0.6697247706422018,0.695048987865448,0.47873421857496123,0.03983516483516483,-0.05906593406593408,-0.06957697351636893,0.08508813381195068,-0.15516218896968859
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6222527472527473,0.6060041570404264,0.6409090909090909,0.48186528497409326,0.6952380952380952,0.6191738843917847,0.6287409603153613,0.02197802197802198,-0.01098901098901095,-0.012044840743973162,0.009213030338287354,-0.005155447229288512
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6332417582417582,0.6181628442712187,0.6574712643678161,0.5,0.6970172684458399,0.6124551892280579,0.6315437476579437,0.03571428571428571,0.0,0.00011384648681911358,0.002494335174560547,-0.0023526598867060766
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5645604395604396,0.5348223065037224,0.5663716814159292,0.37142857142857144,0.6666666666666666,0.706278383731842,0.4720062630860152,0.042582417582417584,-0.06868131868131866,-0.08322669128067717,0.09631752967834473,-0.16189014445863464
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5755494505494505,0.5485331912462522,0.581081081081081,0.39886039886039887,0.6656580937972768,0.6968754529953003,0.48089489713176686,0.05357142857142857,-0.05769230769230771,-0.06951580653814737,0.08691459894180298,-0.15300151041288296
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.6195054945054945,0.6019689382109283,0.6318181818181818,0.48021108179419525,0.6938775510204082,0.6197224855422974,0.6268290527677428,0.03159340659340659,-0.013736263736263687,-0.01608005957347125,0.009761631488800049,-0.007067354776907009
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6181318681318682,0.5990600936235236,0.6469248291571754,0.45866666666666667,0.6915887850467289,0.6167764663696289,0.6030347666703597,0.03021978021978022,-0.015109890109890056,-0.018988904160875952,0.006815612316131592,-0.03086164087429011
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6304945054945055,0.6149462585908031,0.6526806526806527,0.4897959183673469,0.7023622047244095,0.6105360388755798,0.6339079379522741,0.028846153846153848,-0.0027472527472527375,-0.003102739193596493,0.0005751848220825195,1.1530407624249506e-05
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6346153846153846,0.6191574702824562,0.6589861751152074,0.49612403100775193,0.7023622047244095,0.6105015277862549,0.6336776762464892,0.03021978021978022,0.0013736263736263687,0.0011084724980565674,0.0005406737327575684,-0.00021873129816063486
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.6208791208791209,0.601742252845194,0.6515837104072398,0.45989304812834225,0.69375,0.6182454824447632,0.6023091051925026,0.03159340659340659,-0.012362637362637319,-0.016306744939205586,0.00828462839126587,-0.03158730235214724
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.614010989010989,0.5941079292096334,0.65,0.44385026737967914,0.6884735202492211,0.61786288022995,0.6025258462750912,0.03021978021978022,-0.019230769230769162,-0.02394106857476619,0.007902026176452637,-0.03137056126955862
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6304945054945055,0.6154960801435169,0.6526806526806527,0.49238578680203043,0.7014218009478673,0.6108466386795044,0.6336023980038057,0.027472527472527472,-0.0027472527472527375,-0.0025529176408827237,0.0008857846260070801,-0.0002940095408441312
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5975274725274725,0.579885335513182,0.6252873563218391,0.4528301886792453,0.6615384615384615,0.6417454481124878,0.5455306027770253,0.038461538461538464,-0.0357142857142857,-0.03816366227121759,0.03178459405899048,-0.08836580476762457
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6291208791208791,0.6141279951834515,0.6495327102803738,0.49363867684478374,0.6992125984251969,0.6132897138595581,0.6311169106104028,0.023351648351648352,-0.004120879120879106,-0.003921002600948076,0.003328859806060791,-0.002779496934247061
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0,0.635989010989011,0.620152047206061,0.6589861751152074,0.4948453608247423,0.7066246056782335,0.6097688674926758,0.6346749811123646,0.027472527472527472,0.0027472527472527375,0.002103049421661396,-0.0001919865608215332,0.0007785735677148242
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,298,0.5975274725274725,0.5811344459053619,0.6229508196721312,0.45789473684210524,0.662557781201849,0.6427200436592102,0.5434872037547673,0.03021978021978022,-0.0357142857142857,-0.036914551879037694,0.03275918960571289,-0.09040920378988249
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,15,0.5947802197802198,0.5766011651887967,0.6235565819861432,0.44266666666666665,0.6635802469135802,0.6410517692565918,0.5456680315152312,0.03571428571428571,-0.038461538461538436,-0.04144783259560292,0.031090915203094482,-0.08822837602941858
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0,0.6277472527472527,0.6132951687626806,0.6526806526806527,0.4898989898989899,0.6973058637083994,0.6121489405632019,0.6325785871927959,0.020604395604395604,-0.005494505494505475,-0.004753829021718947,0.00218808650970459,-0.0013178203518539044
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5604395604395604,0.5428134512262154,0.5874125874125874,0.4094488188976378,0.631578947368421,0.6716032028198242,0.49954497753755756,0.03571428571428571,-0.07280219780219777,-0.07523554655818421,0.061642348766326904,-0.13435143000709227
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6277472527472527,0.6134747505937872,0.6494117647058824,0.494949494949495,0.6960629921259842,0.6160035133361816,0.6289428568113036,0.019230769230769232,-0.005494505494505475,-0.0045742471906123905,0.006042659282684326,-0.004953550733346246
