modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5453296703296703,0.5213893110435663,0.5669642857142857,0.37714285714285717,0.6200607902735562,0.7160809636116028,0.4739753026510301,0.02197802197802198,-0.07554945054945061,-0.08379755491955243,0.10755276679992676,-0.1656195936580887
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5521978021978022,0.5287740673865899,0.5616438356164384,0.39325842696629215,0.6314199395770392,0.7039818167686462,0.482071880268767,0.016483516483516484,-0.06868131868131866,-0.07641279857652883,0.09545361995697021,-0.1575230160403518
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.6222527472527473,0.6054432937603411,0.6652360515021459,0.4715447154471545,0.679549114331723,0.6189783215522766,0.6331169325910913,0.01098901098901099,0.0013736263736263687,0.0002564277972223472,0.010450124740600586,-0.006477963718027557
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.592032967032967,0.5775962910248031,0.6423982869379015,0.4381443298969072,0.6522462562396006,0.6157177090644836,0.6124234978323153,0.019230769230769232,-0.028846153846153855,-0.027590574938315626,0.007189512252807617,-0.0271713984768035
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6222527472527473,0.6063189369937513,0.6565874730021598,0.47619047619047616,0.6861788617886179,0.6088005900382996,0.639518507562761,0.009615384615384616,0.0013736263736263687,0.0011320710306325088,0.00027239322662353516,-7.63887463578472e-05
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6181318681318682,0.6029223266585176,0.6565874730021598,0.47244094488188976,0.6797385620915033,0.6078789234161377,0.6393552050783629,0.012362637362637362,-0.0027472527472527375,-0.002264539304601132,-0.0006492733955383301,-0.00023969123075595622
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.5947802197802198,0.5790096152025498,0.6382978723404256,0.4397905759162304,0.6589403973509934,0.6178300380706787,0.611406692570927,0.02197802197802198,-0.026098901098901117,-0.026177250760568982,0.009301841259002686,-0.028188203738191864
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.592032967032967,0.5773714527571889,0.6394849785407726,0.4381443298969072,0.654485049833887,0.6147534847259521,0.6130337288041151,0.024725274725274724,-0.028846153846153855,-0.02781541320592984,0.006225287914276123,-0.026561167505003702
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6222527472527473,0.6070551284461944,0.6594360086767896,0.4776902887139108,0.6840390879478827,0.6085759401321411,0.6392171793566821,0.009615384615384616,0.0013736263736263687,0.001868262483075589,4.774332046508789e-05,-0.000377716952436713
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5755494505494505,0.565041576805517,0.6164383561643836,0.4396135265700483,0.6390728476821192,0.6398726105690002,0.5673664559462482,0.020604395604395604,-0.04532967032967039,-0.04014528915760174,0.03134441375732422,-0.07222844036287057
