sample_id,status,words,valid_words,word_alignment_coverage,processed_video_frames,face_frames,face_detection_rate,video_duration_s
-egA8-b7-3M$_$26,PASS,15,15,1.0,60,60,1.0,6.03099
-egA8-b7-3M$_$6,PASS,12,12,1.0,63,63,1.0,6.264974
-egA8-b7-3M$_$9,PASS,10,10,1.0,51,51,1.0,5.089974
-HeZS2-Prhc$_$2,REVIEW,16,16,1.0,83,83,1.0,8.261979
-hnBHBN8p5A$_$6,REVIEW,13,11,0.8461538461538461,51,23,0.45098039215686275,6.401
-hnBHBN8p5A$_$7,REVIEW,13,9,0.6923076923076923,59,29,0.4915254237288136,7.372
-HwX2H8Z4hY$_$2,REVIEW,8,5,0.625,40,8,0.2,3.982031
-HwX2H8Z4hY$_$5,REVIEW,10,9,0.9,57,18,0.3157894736842105,5.652995
-HwX2H8Z4hY$_$6,REVIEW,7,7,1.0,34,17,0.5,3.358008
-HwX2H8Z4hY$_$9,REVIEW,22,21,0.9545454545454546,78,15,0.19230769230769232,7.733984
