modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5879120879120879,0.5607369752253555,0.6118143459915611,0.40476190476190477,0.6656346749226006,0.679002583026886,0.5273898657482853,0.03708791208791209,-0.06043956043956045,-0.06512608612115667,0.053898513317108154,-0.1024722857229573
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6401098901098901,0.6148834553003156,0.676923076923077,0.4629080118694362,0.7048192771084337,0.6323058009147644,0.623871559247754,0.03159340659340659,-0.008241758241758323,-0.010979606046196522,0.007201731204986572,-0.005990592223488633
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.570054945054945,0.5387269018478521,0.5745140388768899,0.375,0.6666666666666666,0.707683265209198,0.4763215336562551,0.046703296703296704,-0.07829670329670335,-0.08713615949866005,0.08257919549942017,-0.15354061781498746
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6387362637362637,0.6141939145701169,0.6798245614035088,0.4629080118694362,0.6998491704374057,0.6318992972373962,0.6248178356538562,0.0260989010989011,-0.009615384615384692,-0.0116691467763953,0.006795227527618408,-0.005044315817386402
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6428571428571429,0.6191468754458792,0.6784922394678492,0.47093023255813954,0.708018154311649,0.6278116703033447,0.6269823324328224,0.03296703296703297,-0.005494505494505475,-0.006716185900632943,0.0027076005935668945,-0.0028798190384201616
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.5645604395604396,0.5308979444097962,0.5646551724137931,0.36036036036036034,0.6676783004552352,0.7206459641456604,0.4670741948369232,0.03571428571428571,-0.08379120879120883,-0.09496511693671594,0.09554189443588257,-0.1627879566343194
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5590659340659341,0.5282336958839039,0.5603448275862069,0.3668639053254438,0.6574923547400612,0.7163156270980835,0.4709832519737675,0.050824175824175824,-0.0892857142857143,-0.09762936546260825,0.09121155738830566,-0.15887889949747508
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.635989010989011,0.609833061630237,0.6739606126914661,0.4537313432835821,0.7018072289156626,0.637286901473999,0.6209575479687177,0.03571428571428571,-0.01236263736263743,-0.016029999716275167,0.012182831764221191,-0.008904603502524866
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6195054945054945,0.5952781966056987,0.6515837104072398,0.43820224719101125,0.6960486322188449,0.629976749420166,0.5979331835328657,0.028846153846153848,-0.028846153846153855,-0.030584864740813456,0.004872679710388184,-0.03192896793837685
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.646978021978022,0.6239041670241884,0.6799116997792495,0.4783861671469741,0.7134146341463414,0.6236664652824402,0.6315960867819871,0.03021978021978022,-0.0013736263736263687,-0.0019588943223237676,-0.0014376044273376465,0.0017339353107445055
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6497252747252747,0.627019452370559,0.6829268292682927,0.4827586206896552,0.715372907153729,0.6227306127548218,0.6316325580071591,0.03296703296703297,0.0013736263736263687,0.0011563910240468545,-0.0023734569549560547,0.0017704065359165355
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.6236263736263736,0.5996723226336086,0.6561085972850679,0.4438202247191011,0.6990881458966566,0.6281226873397827,0.5997573164047685,0.0260989010989011,-0.02472527472527475,-0.02619073871290356,0.003018617630004883,-0.0301048350664741
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.6222527472527473,0.5981847378714077,0.6530612244897959,0.441340782122905,0.700152207001522,0.627689003944397,0.5994946687466826,0.028846153846153848,-0.026098901098901117,-0.02767832347510446,0.0025849342346191406,-0.030367482724560024
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6442307692307693,0.620966677274651,0.6799116997792495,0.47262247838616717,0.7103658536585366,0.6217102408409119,0.6331597595111539,0.028846153846153848,-0.004120879120879106,-0.004896384071861104,-0.003393828868865967,0.003297608039911304
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.6085164835164835,0.58708096523934,0.6032482598607889,0.4648648648648649,0.6931297709923664,0.6502654552459717,0.5578083689595219,0.03159340659340659,-0.039835164835164916,-0.038782096107172204,0.025161385536193848,-0.07205378251172068
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6428571428571429,0.619680411458929,0.6784922394678492,0.47126436781609193,0.7092846270928462,0.6219776272773743,0.6322117747527252,0.027472527472527472,-0.005494505494505475,-0.006182649887583103,-0.0031264424324035645,0.0023496232814825824
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0,0.6524725274725275,0.6319745943690789,0.6829268292682927,0.4971751412429379,0.7158218125960062,0.6190020442008972,0.6340345885508256,0.03021978021978022,0.004120879120879106,0.006111533022566729,-0.006102025508880615,0.004172437079583036
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,298,0.6112637362637363,0.5924420386812851,0.6129032258064516,0.4772117962466488,0.687211093990755,0.6478369832038879,0.5575178489024935,0.03571428571428571,-0.03708791208791207,-0.03342102266522706,0.022732913494110107,-0.07234430256874913
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,15,0.6002747252747253,0.5805816333267314,0.6018518518518519,0.45989304812834225,0.68,0.6453811526298523,0.559511729161064,0.03159340659340659,-0.04807692307692313,-0.045281428019780745,0.020277082920074463,-0.07035042231017863
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0,0.646978021978022,0.626000283940166,0.6784922394678492,0.49002849002849,0.709480122324159,0.6174066662788391,0.634945267576108,0.027472527472527472,-0.0013736263736263687,0.00013722259365389622,-0.007697403430938721,0.005083116104865448
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5645604395604396,0.5452659942023124,0.5806451612903226,0.40625,0.6489028213166145,0.6883856654167175,0.5048503391129511,0.04532967032967033,-0.08379120879120883,-0.08059706714419979,0.0632815957069397,-0.1250118123582915
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6414835164835165,0.6194684104303924,0.6784922394678492,0.47564469914040114,0.7042682926829268,0.6229912638664246,0.6297687374717572,0.0260989010989011,-0.006868131868131844,-0.006394650916119793,-0.0021128058433532715,-9.341399948536999e-05
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0,0.6497252747252747,0.6308899464330874,0.68,0.5027932960893855,0.7098765432098766,0.6171501278877258,0.6331850520813035,0.02197802197802198,0.0013736263736263687,0.005026885086575228,-0.007953941822052002,0.003322900610060908
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,492,0.5590659340659341,0.5414636162423179,0.5747663551401869,0.40609137055837563,0.6435331230283912,0.688034176826477,0.5030305014799464,0.046703296703296704,-0.0892857142857143,-0.08439944510419428,0.06293010711669922,-0.12683164999129615
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,24,0.5618131868131868,0.5448891621089138,0.5852534562211982,0.4071246819338422,0.6422893481717011,0.6849753260612488,0.5034482356009812,0.04807692307692308,-0.08653846153846156,-0.08097389923759835,0.05987125635147095,-0.1264139158702614
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0,0.6373626373626373,0.6175301561351298,0.6726057906458798,0.48044692737430167,0.699537750385208,0.6166711449623108,0.6308157185662702,0.027472527472527472,-0.010989010989011061,-0.008332905211382302,-0.008432924747467041,0.0009535670950275854
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,3,0.6236263736263736,0.6037152113494048,0.6609808102345416,0.4699140401146132,0.6802507836990596,0.6435189843177795,0.5919574442069333,0.03159340659340659,-0.02472527472527475,-0.022147849997107394,0.01841491460800171,-0.03790470726430928
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0,0.6483516483516484,0.6265561470725066,0.6814159292035398,0.4857142857142857,0.7125382262996942,0.6266965866088867,0.628397961619471,0.03021978021978022,0.0,0.0006930857259944689,0.0015925168991088867,-0.0014641898517715468
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0,0.6456043956043956,0.62283700334111,0.6814159292035398,0.47564469914040114,0.7114503816793893,0.6266223192214966,0.6281472582373264,0.03296703296703297,-0.0027472527472527375,-0.0030260580054021213,0.00151824951171875,-0.0017148932339161593
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,133,0.6263736263736264,0.6063279190109779,0.6595289079229122,0.47293447293447294,0.6865203761755486,0.643706202507019,0.590829799761574,0.03296703296703297,-0.02197802197802201,-0.019535142335534217,0.01860213279724121,-0.03903235170966857
