modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,0.5178571428571429,0.5114072140148299,0.53125,0.41025641025641024,0.5927152317880795,0.6608450412750244,0.512994911910468,0.01510989010989011,-0.09478021978021978,-0.09510171528659384,0.06612348556518555,-0.12049482085869634
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0.6002747252747253,0.5925848415558915,0.6524822695035462,0.4728132387706856,0.6524590163934426,0.5924535989761353,0.6353102729288024,0.009615384615384616,-0.01236263736263743,-0.013924087745532221,-0.0022679567337036133,0.0018205401596380621
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5837912087912088,0.5692769887682169,0.6157407407407407,0.43609022556390975,0.656,0.626071572303772,0.5890576314477667,0.019230769230769232,-0.028846153846153855,-0.037231940533206886,0.031350016593933105,-0.04443210132139763
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0.6222527472527473,0.6159619450317125,0.6698564593301436,0.5069767441860465,0.6710526315789473,0.5951433777809143,0.6319366038952108,0.006868131868131868,0.009615384615384581,0.009453015730288783,0.00042182207107543945,-0.0015531288739535354
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,0.5851648351648352,0.5711810721274816,0.6121495327102804,0.4494949494949495,0.6518987341772152,0.6257189512252808,0.587571809762625,0.01098901098901099,-0.027472527472527486,-0.035327857173942157,0.030997395515441895,-0.045917923006539296
TV,back,0.1,728,2032,0.12971193869701972,0.11782160412420573,0.5837912087912088,0.5692769887682169,0.6157407407407407,0.43609022556390975,0.656,0.626071572303772,0.5890576314477667,0.019230769230769232,-0.028846153846153855,-0.037231940533206886,0.031350016593933105,-0.04443210132139763
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0.6222527472527473,0.6159619450317125,0.6698564593301436,0.5069767441860465,0.6710526315789473,0.5951433777809143,0.6319366038952108,0.006868131868131868,0.009615384615384581,0.009453015730288783,0.00042182207107543945,-0.0015531288739535354
T,back,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5673076923076923,0.5520079830416561,0.6153846153846154,0.4020100502512563,0.6386292834890965,0.639842689037323,0.5802949053369583,0.013736263736263736,-0.04532967032967039,-0.054500946259767646,0.04512113332748413,-0.05319482743220605
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0.6304945054945055,0.6231366005898052,0.6634146341463415,0.5209302325581395,0.685064935064935,0.59577876329422,0.6313897659650415,0.008241758241758242,0.017857142857142794,0.016627671288381496,0.0010572075843811035,-0.0020999668041228325
V,back,0.3,728,5478,0.3284235928836993,0.31663784584980237,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,back,0.3,728,5478,0.3284235928836993,0.3190565047524637,0.5714285714285714,0.5569675386871121,0.6048780487804878,0.4271356783919598,0.6388888888888888,0.6432334780693054,0.5761688976602957,0.009615384615384616,-0.041208791208791284,-0.04954139061431162,0.04851192235946655,-0.05732083510886865
TV,back,0.3,728,5478,0.3284235928836993,0.3178575710346481,0.5673076923076923,0.5520079830416561,0.6153846153846154,0.4020100502512563,0.6386292834890965,0.639842689037323,0.5802949053369583,0.013736263736263736,-0.04532967032967039,-0.054500946259767646,0.04512113332748413,-0.05319482743220605
AV,back,0.3,728,5478,0.3284235928836993,0.31790623686895975,0.6304945054945055,0.6231366005898052,0.6634146341463415,0.5209302325581395,0.685064935064935,0.59577876329422,0.6313897659650415,0.008241758241758242,0.017857142857142794,0.016627671288381496,0.0010572075843811035,-0.0020999668041228325
T,back,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5398351648351648,0.52455914899693,0.5665024630541872,0.3891625615763547,0.6180124223602484,0.6675153970718384,0.5242210900960834,0.019230769230769232,-0.07280219780219788,-0.08194978030449374,0.07279384136199951,-0.1092686426730809
A,back,0.5,728,8752,0.516434327252749,0.5097512554011444,0.6167582417582418,0.607457068458634,0.6601466992665037,0.4892086330935252,0.6730158730158731,0.5950886011123657,0.6292585865058988,0.005494505494505495,0.004120879120879106,0.0009481391572102593,0.00036704540252685547,-0.004231146263265484
V,back,0.5,728,8752,0.516434327252749,0.5070405138339921,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,back,0.5,728,8752,0.516434327252749,0.5097090209341653,0.5302197802197802,0.5142409886665679,0.5472636815920398,0.38902743142144636,0.6064318529862175,0.6725567579269409,0.512873780411442,0.016483516483516484,-0.08241758241758246,-0.09226794063485588,0.07783520221710205,-0.12061595235772227
TV,back,0.5,728,8752,0.516434327252749,0.508392279103225,0.5398351648351648,0.52455914899693,0.5665024630541872,0.3891625615763547,0.6180124223602484,0.6675153970718384,0.5242210900960834,0.019230769230769232,-0.07280219780219788,-0.08194978030449374,0.07279384136199951,-0.1092686426730809
AV,back,0.5,728,8752,0.516434327252749,0.508433879584609,0.6167582417582418,0.607457068458634,0.6601466992665037,0.4892086330935252,0.6730158730158731,0.5950886011123657,0.6292585865058988,0.005494505494505495,0.004120879120879106,0.0009481391572102593,0.00036704540252685547,-0.004231146263265484
