candidate,missing_group,scenario_seed_rows,mean_accuracy,mean_macro_f1,mean_mae,mean_pearson
A_TAV_clean,T,27,0.5683760683760684,0.55110680750466,0.6419949774388913,0.5555772665339748
A_TAV_clean,TA,27,0.5681725681725681,0.5501548495365777,0.643029045175623,0.554033879361845
A_TAV_clean,TV,27,0.5679181929181929,0.5497008465845441,0.6419144780547531,0.5549132353009418
A_TAV_clean,V,27,0.6298331298331298,0.6048707851783193,0.610258040604768,0.6316320951306783
A_TAV_clean,text_available,81,0.6298500881834215,0.6047648138404205,0.6102740771976518,0.6312387257439686
A_TAV_clean,text_missing,81,0.5681556098222765,0.5503208345419273,0.6423128335564224,0.5548414603989206
A_TA_clean,A,27,0.6190984940984942,0.5988795545767076,0.60832279920578,0.6291153189308637
A_TA_clean,AV,27,0.6190984940984942,0.5988795545767076,0.60832279920578,0.6291153189308637
A_TA_clean,T,27,0.5591168091168092,0.5371772271898771,0.6581539886969107,0.5413231934904322
A_TA_clean,TA,27,0.5588115588115589,0.5360222357255378,0.6600353629500778,0.5392212096570166
A_TA_clean,TV,27,0.5591168091168092,0.5371772271898771,0.6581539886969107,0.5413231934904322
A_TA_clean,V,27,0.6217948717948718,0.6025362913829793,0.6062490741411845,0.6307784385879442
A_TA_clean,text_available,81,0.6199972866639534,0.6000984668454649,0.6076315575175815,0.6296696921498905
A_TA_clean,text_missing,81,0.559015059015059,0.5367922300350974,0.6587811134479664,0.540622532212627
A_TV,A,27,0.6373626373626373,0.6158443691725431,0.59886101881663,0.6307059404127632
A_TV,AV,27,0.6385327635327636,0.6163455775545769,0.6001863347159492,0.6298372548539433
A_TV,T,27,0.5856735856735856,0.5612120573819371,0.6407598676504912,0.5543126935732148
A_TV,TA,27,0.5856735856735856,0.5612120573819371,0.6407598676504912,0.5543126935732148
A_TV,TV,27,0.5853683353683353,0.5595720641403082,0.6407728327645196,0.5538471804305355
A_TV,V,27,0.6385327635327636,0.6163455775545769,0.6001863347159492,0.6298372548539433
A_TV,text_available,81,0.6381427214760548,0.616178508093899,0.5997445627495095,0.6301268167068832
A_TV,text_missing,81,0.5855718355718356,0.5606653929680608,0.6407641893551673,0.5541575225256551
A_TV_clean,A,27,0.6382783882783883,0.614014973255231,0.6064075430234274,0.6379812238479767
A_TV_clean,AV,27,0.6375661375661376,0.6131094780666358,0.6063508788744608,0.6379777214379898
A_TV_clean,T,27,0.5757020757020757,0.5575495505548209,0.6392493755729111,0.5625393578618499
A_TV_clean,TA,27,0.5757020757020757,0.5575495505548209,0.6392493755729111,0.5625393578618499
A_TV_clean,TV,27,0.5765160765160765,0.5575476175770089,0.6390555545135781,0.5619849298743679
A_TV_clean,V,27,0.6375661375661376,0.6131094780666358,0.6063508788744608,0.6379777214379898
A_TV_clean,text_available,81,0.6378035544702212,0.6134113097961675,0.6063697669241164,0.6379788889079855
A_TV_clean,text_missing,81,0.5759734093067427,0.5575489062288835,0.6391847685531333,0.5623545485326892
A_T_clean,A,27,0.6314102564102564,0.6073490513127041,0.600032905737559,0.6380601460319762
A_T_clean,AV,27,0.6314102564102564,0.6073490513127041,0.600032905737559,0.6380601460319762
A_T_clean,T,27,0.5660866910866911,0.5421363107380098,0.6508530179659525,0.552134397048185
A_T_clean,TA,27,0.5660866910866911,0.5421363107380098,0.6508530179659525,0.552134397048185
A_T_clean,TV,27,0.5660866910866911,0.5421363107380098,0.6508530179659525,0.552134397048185
A_T_clean,V,27,0.6314102564102564,0.6073490513127041,0.600032905737559,0.6380601460319762
A_T_clean,text_available,81,0.6314102564102564,0.6073490513127041,0.600032905737559,0.6380601460319762
A_T_clean,text_missing,81,0.5660866910866911,0.5421363107380098,0.6508530179659525,0.552134397048185
A_gate,A,27,0.6242368742368742,0.6002477643309897,0.6137136419614156,0.6371882426586989
A_gate,AV,27,0.6232193732193733,0.5995724283177116,0.6138495604197184,0.6369114751514271
A_gate,T,27,0.5835368335368335,0.5564074352592474,0.65438680295591,0.560875935265371
A_gate,TA,27,0.5835877085877086,0.5567568448111755,0.6568413133974429,0.5586761158649852
A_gate,TV,27,0.5823667073667074,0.5551648011434377,0.6548047816311872,0.5598924140769765
A_gate,V,27,0.6259157509157509,0.6024414531764857,0.6132092365512142,0.6374915459835419
A_gate,text_available,81,0.6244573327906662,0.600753881941729,0.6135908129774494,0.6371970879312226
A_gate,text_missing,81,0.5831637498304165,0.5561096937379535,0.6553442993281801,0.5598148217357777
B_mask,A,27,0.6316137566137566,0.6086234682392062,0.610708439791644,0.6454879733310893
B_mask,AV,27,0.6304945054945055,0.6095602509050877,0.6080281734466553,0.6408991049900005
B_mask,T,27,0.5743284493284493,0.5460054411265745,0.6577897999021742,0.5522919959755617
B_mask,TA,27,0.5728530728530729,0.5500291347695663,0.6632291520083392,0.548041884806114
B_mask,TV,27,0.5654253154253154,0.5378754351579917,0.6604320362762168,0.5376668357802993
