modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0,0.614010989010989,0.5983892025866001,0.6572769953051644,0.4587628865979381,0.6791277258566978,0.5973376631736755,0.6473359734882662,0.01098901098901099,-0.006868131868131844,-0.0027484408986844233,-0.00366818904876709,-0.000776069722800754
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,3,0.5892857142857143,0.574473815315607,0.6283185840707964,0.4497354497354497,0.645367412140575,0.6130902767181396,0.6025513870182164,0.020604395604395604,-0.03159340659340659,-0.026663828169677495,0.012084424495697021,-0.045560656192850546
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0,0.6222527472527473,0.6039163760102354,0.6541176470588236,0.46437994722955145,0.6932515337423313,0.6008074283599854,0.6469729987777545,0.013736263736263736,0.0013736263736263687,0.0027787325249508665,-0.0001984238624572754,-0.001139044433312475
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0,0.6195054945054945,0.6021434488379224,0.6572769953051644,0.46194225721784776,0.687211093990755,0.6025846600532532,0.6473368856757564,0.01098901098901099,-0.0013736263736263687,0.001005805352637834,0.0015788078308105469,-0.0007751575353105444
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,133,0.5865384615384616,0.5717030509698194,0.6222222222222222,0.44854881266490765,0.6443381180223285,0.6154477596282959,0.6006153757813912,0.020604395604395604,-0.03434065934065933,-0.029434592515465097,0.014441907405853271,-0.04749666742967573
TV,back,0.1,728,2032,0.12971193869701972,0.11782160412420573,3,0.592032967032967,0.577883072782933,0.6283185840707964,0.45789473684210524,0.6474358974358975,0.6154372096061707,0.6006100672505773,0.020604395604395604,-0.028846153846153855,-0.023254570702351485,0.014431357383728027,-0.04750197596048966
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0,0.6181318681318682,0.6006397593689186,0.6541176470588236,0.4595300261096606,0.6882716049382716,0.6025139689445496,0.6460673413329071,0.012362637362637362,-0.0027472527472527375,-0.0004978841163659764,0.0015081167221069336,-0.0020447018781598603
T,back,0.3,728,5478,0.3284235928836993,0.3190076869322152,13,0.5659340659340659,0.5521104279025585,0.6084905660377359,0.4119106699751861,0.6359300476947536,0.6343829035758972,0.5775869312484989,0.013736263736263736,-0.05494505494505497,-0.04902721558272605,0.03337705135345459,-0.07052511196256805
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0,0.6222527472527473,0.6038103307526789,0.6555819477434679,0.4595300261096606,0.696319018404908,0.5993765592575073,0.6488052007220139,0.01510989010989011,0.0013736263736263687,0.002672687267394336,-0.0016292929649353027,0.0006931575109468957
V,back,0.3,728,5478,0.3284235928836993,0.31663784584980237,0,0.625,0.6093124155509826,0.6619718309859155,0.4754521963824289,0.6905132192846034,0.6033546328544617,0.6461390337652786,0.01098901098901099,0.004120879120879106,0.008174772065698055,0.002348780632019043,-0.0019730094457883762
TA,back,0.3,728,5478,0.3284235928836993,0.3190565047524637,351,0.570054945054945,0.5582731981212352,0.6019417475728155,0.43478260869565216,0.638095238095238,0.635447084903717,0.5773207290254627,0.013736263736263736,-0.050824175824175866,-0.04286444536404932,0.034441232681274414,-0.07079131418560425
TV,back,0.3,728,5478,0.3284235928836993,0.3178575710346481,13,0.5563186813186813,0.544325161408123,0.5961538461538461,0.4116222760290557,0.6251993620414673,0.6374922394752502,0.5733953762961775,0.016483516483516484,-0.06456043956043955,-0.0568124820771615,0.03648638725280762,-0.07471666691488943
AV,back,0.3,728,5478,0.3284235928836993,0.31790623686895975,0,0.6208791208791209,0.6054485317321698,0.6587112171837709,0.4681933842239186,0.6894409937888198,0.6019452214241028,0.6466888180965105,0.009615384615384616,0.0,0.004310888246885303,0.0009393692016601562,-0.0014232251145565034
T,back,0.5,728,8752,0.516434327252749,0.5096668996040066,22,0.5453296703296703,0.53531297324366,0.568019093078759,0.4225352112676056,0.6153846153846154,0.6673962473869324,0.5204073669947883,0.008241758241758242,-0.07554945054945061,-0.06582467024162453,0.06639039516448975,-0.12770467621627868
A,back,0.5,728,8752,0.516434327252749,0.5097512554011444,0,0.6277472527472527,0.6104155094945319,0.6539379474940334,0.4779220779220779,0.6993865030674846,0.5975894331932068,0.6495282108016265,0.01510989010989011,0.006868131868131844,0.009277866009247404,-0.00341641902923584,0.001416167590559514
V,back,0.5,728,8752,0.516434327252749,0.5070405138339921,0,0.6195054945054945,0.6047133711975355,0.660377358490566,0.46938775510204084,0.684375,0.6050268411636353,0.6439326670619525,0.009615384615384616,-0.0013736263736263687,0.003575727712251009,0.004020988941192627,-0.004179376149114455
TA,back,0.5,728,8752,0.516434327252749,0.5097090209341653,542,0.5453296703296703,0.5359610370682932,0.5607940446650124,0.4302059496567506,0.6168831168831169,0.6704907417297363,0.5188544106794958,0.006868131868131868,-0.07554945054945061,-0.0651766064169913,0.0694848895072937,-0.1292576325315712
TV,back,0.5,728,8752,0.516434327252749,0.508392279103225,22,0.5412087912087912,0.534598343910931,0.5644768856447688,0.4349775784753363,0.6043405676126878,0.6702997088432312,0.5137974517030398,0.006868131868131868,-0.07967032967032972,-0.06653929957435356,0.06929385662078857,-0.13431459150802716
AV,back,0.5,728,8752,0.516434327252749,0.508433879584609,0,0.6167582417582418,0.6020500956046764,0.6522781774580336,0.46851385390428213,0.6853582554517134,0.6023624539375305,0.6450483733241971,0.008241758241758242,-0.004120879120879106,0.0009124521193918378,0.0013566017150878906,-0.003063669886869902
