modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5782967032967034,0.5593832496256937,0.5576407506702413,0.45083932853717024,0.6696696696696697,0.6519026756286621,0.5306874186050669,0.020604395604395604,-0.06593406593406592,-0.06599927575683173,0.05041593313217163,-0.1049454825612054
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6442307692307693,0.6255700763434963,0.6825775656324582,0.4864864864864865,0.7076461769115442,0.6035186648368835,0.6348880634533738,0.027472527472527472,0.0,0.00018755096097078372,0.0020319223403930664,-0.0007448377128984607
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5521978021978022,0.5336241816283288,0.49002849002849,0.45454545454545453,0.656298600311042,0.6782509684562683,0.48353267585898935,0.01098901098901099,-0.09203296703296704,-0.09175834375419667,0.07676422595977783,-0.1521002253072829
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6442307692307693,0.625108236399758,0.6825775656324582,0.48633879781420764,0.706408345752608,0.6065933704376221,0.6323091072480999,0.027472527472527472,0.0,-0.0002742889827674899,0.005106627941131592,-0.0033237939181723908
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5521978021978022,0.5336241816283288,0.49002849002849,0.45454545454545453,0.656298600311042,0.6782509684562683,0.48353267585898935,0.01098901098901099,-0.09203296703296704,-0.09175834375419667,0.07676422595977783,-0.1521002253072829
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5480769230769231,0.5279111808283005,0.48255813953488375,0.44880174291938996,0.6523736600306279,0.6808198690414429,0.48232815274864843,0.009615384615384616,-0.09615384615384615,-0.09747134455422501,0.07933312654495239,-0.15330474841762382
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6442307692307693,0.625108236399758,0.6825775656324582,0.48633879781420764,0.706408345752608,0.6065933704376221,0.6323091072480999,0.027472527472527472,0.0,-0.0002742889827674899,0.005106627941131592,-0.0033237939181723908
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.614010989010989,0.5975322912821398,0.6370757180156658,0.46078431372549017,0.6947368421052632,0.6223748326301575,0.6008763269003583,0.020604395604395604,-0.030219780219780223,-0.027850234100385673,0.020888090133666992,-0.03475657426591394
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6456043956043956,0.626654427334864,0.6825775656324582,0.4878048780487805,0.7095808383233533,0.6019269227981567,0.6352450149519809,0.03021978021978022,0.0013736263736263687,0.0012719019523385056,0.00044018030166625977,-0.00038788621429131087
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.614010989010989,0.5975322912821398,0.6370757180156658,0.46078431372549017,0.6947368421052632,0.6223748326301575,0.6008763269003583,0.020604395604395604,-0.030219780219780223,-0.027850234100385673,0.020888090133666992,-0.03475657426591394
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.6112637362637363,0.5941696804028529,0.6404199475065617,0.45161290322580644,0.6904761904761905,0.6225777268409729,0.6006407116283609,0.024725274725274724,-0.03296703296703296,-0.031212844979672583,0.021090984344482422,-0.03499218953791139
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.6456043956043956,0.626654427334864,0.6825775656324582,0.4878048780487805,0.7095808383233533,0.6019269227981567,0.6352450149519809,0.03021978021978022,0.0013736263736263687,0.0012719019523385056,0.00044018030166625977,-0.00038788621429131087
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5989010989010989,0.5836646934587174,0.5819209039548022,0.4852607709750567,0.6838124054462935,0.6338216662406921,0.5551607929524921,0.008241758241758242,-0.04532967032967039,-0.04171783192380807,0.03233492374420166,-0.08047210821378015
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0.6414835164835165,0.6221209969107588,0.6762589928057554,0.483695652173913,0.706408345752608,0.6023123860359192,0.6354737797129916,0.0260989010989011,-0.0027472527472527375,-0.0032615284717666393,0.0008256435394287109,-0.00015912145328067506
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5989010989010989,0.5836646934587174,0.5819209039548022,0.4852607709750567,0.6838124054462935,0.6338216662406921,0.5551607929524921,0.008241758241758242,-0.04532967032967039,-0.04171783192380807,0.03233492374420166,-0.08047210821378015
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,0.5947802197802198,0.579576873691788,0.5852272727272727,0.47380410022779046,0.6796992481203008,0.6343227624893188,0.5539001672770061,0.009615384615384616,-0.0494505494505495,-0.04580565169073747,0.03283601999282837,-0.08173273388926616
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0.6414835164835165,0.6221209969107588,0.6762589928057554,0.483695652173913,0.706408345752608,0.6023123860359192,0.6354737797129916,0.0260989010989011,-0.0027472527472527375,-0.0032615284717666393,0.0008256435394287109,-0.00015912145328067506
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5302197802197802,0.5185484781380953,0.5028901734104047,0.4297520661157025,0.6230031948881789,0.6708027720451355,0.4920140281194698,0.01098901098901099,-0.11401098901098905,-0.10683404724443013,0.06931602954864502,-0.14361887304680243
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0.6318681318681318,0.6119670464879902,0.6666666666666666,0.46774193548387094,0.7014925373134329,0.6023767590522766,0.6360935810395837,0.02197802197802198,-0.01236263736263743,-0.013415478894535315,0.0008900165557861328,0.00046067987331144256
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5302197802197802,0.5185484781380953,0.5028901734104047,0.4297520661157025,0.6230031948881789,0.6708027720451355,0.4920140281194698,0.01098901098901099,-0.11401098901098905,-0.10683404724443013,0.06931602954864502,-0.14361887304680243
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,0.5315934065934066,0.5193614887109776,0.5058823529411764,0.4256198347107438,0.6265822784810127,0.6705300211906433,0.48995315403753326,0.006868131868131868,-0.11263736263736268,-0.10602103667154783,0.06904327869415283,-0.145679747128739
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0.6318681318681318,0.6119670464879902,0.6666666666666666,0.46774193548387094,0.7014925373134329,0.6023767590522766,0.6360935810395837,0.02197802197802198,-0.01236263736263743,-0.013415478894535315,0.0008900165557861328,0.00046067987331144256
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5824175824175825,0.5618130921619294,0.595,0.42377260981912146,0.6666666666666666,0.6285201907157898,0.597542600617099,0.013736263736263736,-0.061813186813186816,-0.06356943322059605,0.027033448219299316,-0.038090300549173284
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0.6456043956043956,0.627284104025672,0.6825775656324582,0.49056603773584906,0.7087087087087087,0.6013249754905701,0.6362663213906713,0.03021978021978022,0.0013736263736263687,0.001901578643146551,-0.00016176700592041016,0.0006334202243990505
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,0.5824175824175825,0.5618130921619294,0.595,0.42377260981912146,0.6666666666666666,0.6285201907157898,0.597542600617099,0.013736263736263736,-0.061813186813186816,-0.06356943322059605,0.027033448219299316,-0.038090300549173284
TV,back,0.1,728,2032,0.12971193869701972,0.11782160412420573,0.5865384615384616,0.5655774958659574,0.601010101010101,0.4270833333333333,0.6686390532544378,0.6285051107406616,0.5985266274431958,0.013736263736263736,-0.05769230769230771,-0.059805029516568076,0.027018368244171143,-0.0371062737230764
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0.6456043956043956,0.627284104025672,0.6825775656324582,0.49056603773584906,0.7087087087087087,0.6013249754905701,0.6362663213906713,0.03021978021978022,0.0013736263736263687,0.001901578643146551,-0.00016176700592041016,0.0006334202243990505
T,back,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5659340659340659,0.5504088197369869,0.5898123324396782,0.4195121951219512,0.6419019316493314,0.6377868056297302,0.5889378140404303,0.01510989010989011,-0.07829670329670335,-0.07497370564553862,0.036300063133239746,-0.046695087125841916
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,back,0.3,728,5478,0.3284235928836993,0.31663784584980237,0.6387362637362637,0.6200194393649584,0.6778042959427207,0.478494623655914,0.7037593984962406,0.6011020541191101,0.6362518903851759,0.028846153846153848,-0.005494505494505586,-0.005363086017567076,-0.0003846883773803711,0.0006189892189036872
TA,back,0.3,728,5478,0.3284235928836993,0.3190565047524637,0.5659340659340659,0.5504088197369869,0.5898123324396782,0.4195121951219512,0.6419019316493314,0.6377868056297302,0.5889378140404303,0.01510989010989011,-0.07829670329670335,-0.07497370564553862,0.036300063133239746,-0.046695087125841916
TV,back,0.3,728,5478,0.3284235928836993,0.3178575710346481,0.570054945054945,0.5529941249453444,0.5962059620596206,0.41277641277641275,0.65,0.6370804309844971,0.5895513714884064,0.019230769230769232,-0.07417582417582425,-0.07238840043718109,0.03559368848800659,-0.04608152967786583
AV,back,0.3,728,5478,0.3284235928836993,0.31790623686895975,0.6387362637362637,0.6200194393649584,0.6778042959427207,0.478494623655914,0.7037593984962406,0.6011020541191101,0.6362518903851759,0.028846153846153848,-0.005494505494505586,-0.005363086017567076,-0.0003846883773803711,0.0006189892189036872
T,back,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5302197802197802,0.5132696854476994,0.5303867403314917,0.3905882352941176,0.6188340807174888,0.6701878905296326,0.5161313026625721,0.017857142857142856,-0.11401098901098905,-0.11211283993482613,0.06870114803314209,-0.11950159850370012
A,back,0.5,728,8752,0.516434327252749,0.5097512554011444,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,back,0.5,728,8752,0.516434327252749,0.5070405138339921,0.6373626373626373,0.618127385832759,0.6778846153846154,0.4718498659517426,0.704647676161919,0.6007590293884277,0.6369628449987647,0.027472527472527472,-0.006868131868131955,-0.007255139549766532,-0.0007277131080627441,0.0013299438324924084
TA,back,0.5,728,8752,0.516434327252749,0.5097090209341653,0.5302197802197802,0.5132696854476994,0.5303867403314917,0.3905882352941176,0.6188340807174888,0.6701878905296326,0.5161313026625721,0.017857142857142856,-0.11401098901098905,-0.11211283993482613,0.06870114803314209,-0.11950159850370012
TV,back,0.5,728,8752,0.516434327252749,0.508392279103225,0.5343406593406593,0.5171975543556501,0.5212464589235127,0.4045977011494253,0.625748502994012,0.669979989528656,0.514930128734404,0.01510989010989011,-0.10989010989010994,-0.10818497102687541,0.06849324703216553,-0.12070277243186822
AV,back,0.5,728,8752,0.516434327252749,0.508433879584609,0.6373626373626373,0.618127385832759,0.6778846153846154,0.4718498659517426,0.704647676161919,0.6007590293884277,0.6369628449987647,0.027472527472527472,-0.006868131868131955,-0.007255139549766532,-0.0007277131080627441,0.0013299438324924084
