modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5686813186813187,0.547558324335085,0.5820568927789934,0.4087193460490463,0.6518987341772152,0.6405575275421143,0.5460586099411686,0.028846153846153848,-0.05494505494505497,-0.052014920941654164,0.057109713554382324,-0.09374484781864867
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.625,0.6034664256505471,0.6375545851528385,0.47191011235955055,0.7009345794392523,0.5893850922584534,0.6338888718384743,0.0260989010989011,0.0013736263736263687,0.003893180373807925,0.0059372782707214355,-0.005914585921342974
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5590659340659341,0.5428691747122923,0.5695067264573991,0.41624365482233505,0.6428571428571429,0.6759700179100037,0.48571121588601585,0.020604395604395604,-0.06456043956043955,-0.05670407056444682,0.09252220392227173,-0.15409224187380144
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6181318681318682,0.596942007797271,0.6359649122807017,0.46111111111111114,0.69375,0.5900329947471619,0.6323328122976054,0.020604395604395604,-0.005494505494505475,-0.0026312374794681404,0.006585180759429932,-0.007470645462211878
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6263736263736264,0.6019855395615182,0.6433260393873085,0.45584045584045585,0.7067901234567902,0.5856568217277527,0.6382589194610181,0.024725274725274724,0.0027472527472527375,0.0024122942847790707,0.002209007740020752,-0.0015445382987991918
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5659340659340659,0.5511545545453842,0.5682326621923938,0.4339152119700748,0.6513157894736842,0.6784507036209106,0.4823187624695277,0.019230769230769232,-0.05769230769230771,-0.04841869073135496,0.09500288963317871,-0.15748469529028958
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5618131868131868,0.5436129304736701,0.5720620842572062,0.4103896103896104,0.6483870967741936,0.6777065396308899,0.484636756362352,0.0260989010989011,-0.061813186813186816,-0.05596031480306907,0.09425872564315796,-0.1551667013974653
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6208791208791209,0.5990371069283459,0.6391304347826087,0.4632768361581921,0.6947040498442367,0.5913224220275879,0.6313342570182866,0.03159340659340659,-0.0027472527472527375,-0.000536138348393278,0.007874608039855957,-0.00846920074153068
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6126373626373627,0.5897320083273081,0.6261261261261262,0.4487534626038781,0.6943164362519201,0.6073175072669983,0.6039814803132436,0.028846153846153848,-0.01098901098901095,-0.009841236949431065,0.023869693279266357,-0.03582197744657367
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6236263736263736,0.6002942158787447,0.6417582417582418,0.4563380281690141,0.7027863777089783,0.5824288725852966,0.6406688542848066,0.023351648351648352,0.0,0.0007209706020054885,-0.0010189414024353027,0.0008653965249892925
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.625,0.6013922350233356,0.6417582417582418,0.4576271186440678,0.7047913446676971,0.5834612846374512,0.6397773843859956,0.024725274725274724,0.0013736263736263687,0.0018189897465964444,1.3470649719238281e-05,-2.6073373821655643e-05
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6153846153846154,0.5919531970800934,0.6289592760180995,0.44751381215469616,0.6993865030674846,0.6059111952781677,0.6051289626487254,0.024725274725274724,-0.008241758241758212,-0.007620048196645746,0.02246338129043579,-0.034674495111091885
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.6085164835164835,0.5839695972120915,0.6230248306997742,0.43575418994413406,0.6931297709923664,0.6078906059265137,0.6038942399579722,0.028846153846153848,-0.015109890109890167,-0.015603648064647646,0.02444279193878174,-0.035909217801845084
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.6222527472527473,0.5984785991492302,0.6417582417582418,0.4519774011299435,0.7017001545595054,0.5823508501052856,0.6406266467298647,0.023351648351648352,-0.0013736263736263687,-0.0010946461275089803,-0.001096963882446289,0.000823188970047406
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.6098901098901099,0.591217520980805,0.6037735849056604,0.4742268041237113,0.6956521739130435,0.6264790892601013,0.5610360376941504,0.023351648351648352,-0.013736263736263687,-0.00835572429593412,0.043031275272369385,-0.07876742006566684
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6208791208791209,0.5968909373245589,0.6419213973799127,0.45014245014245013,0.6986089644513137,0.5820653438568115,0.6407283935733503,0.028846153846153848,-0.0027472527472527375,-0.002682307952180274,-0.0013824701309204102,0.0009249358135330343
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0.6222527472527473,0.5979203091127495,0.6371681415929203,0.4519774011299435,0.7046153846153846,0.5829395055770874,0.6404517803996662,0.02197802197802198,-0.0013736263736263687,-0.001652936163989649,-0.0005083084106445312,0.0006483226398489306
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.6016483516483516,0.5849567168162398,0.6004728132387707,0.4720812182741117,0.6823161189358372,0.6260091066360474,0.5627086411425534,0.019230769230769232,-0.02197802197802201,-0.014616528460499323,0.04256129264831543,-0.07709481661726392
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,0.6043956043956044,0.5862013503118897,0.5985748218527316,0.47058823529411764,0.6894409937888198,0.626064658164978,0.5620515681158109,0.024725274725274724,-0.019230769230769273,-0.013371894964849473,0.042616844177246094,-0.07775188964400637
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0.6208791208791209,0.5950482160974424,0.6403508771929824,0.44126074498567336,0.7035330261136713,0.5815185904502869,0.6412718226779656,0.0260989010989011,-0.0027472527472527375,-0.004525029179296758,-0.0019292235374450684,0.0014683649181482794
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5412087912087912,0.5307307174259989,0.5484633569739953,0.41935483870967744,0.6243739565943238,0.6670280694961548,0.507932858437544,0.023351648351648352,-0.08241758241758246,-0.0688425278507403,0.08358025550842285,-0.1318705993222733
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6195054945054945,0.5949916020918903,0.6419213973799127,0.4444444444444444,0.6986089644513137,0.5808205604553223,0.6417427541623215,0.027472527472527472,-0.004120879120879106,-0.0045816431848488826,-0.002627253532409668,0.0019392964025042314
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0.6208791208791209,0.5956840973589063,0.6415929203539823,0.44192634560906513,0.7035330261136713,0.582638680934906,0.6406769574451165,0.027472527472527472,-0.0027472527472527375,-0.0038891479178329025,-0.0008091330528259277,0.0008734996852992616
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5494505494505495,0.5373406621144665,0.5497630331753555,0.42424242424242425,0.6380165289256199,0.6637653112411499,0.5139167016124191,0.03159340659340659,-0.07417582417582413,-0.06223258316227265,0.08031749725341797,-0.1258867561473982
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,0.5384615384615384,0.5262238507967827,0.5467625899280576,0.4046511627906977,0.6272577996715928,0.6669264435768127,0.5076794303718165,0.02197802197802198,-0.0851648351648352,-0.07334939447995648,0.08347862958908081,-0.13212402738800078
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0.6263736263736264,0.6004606167060561,0.6488888888888888,0.44192634560906513,0.7105666156202144,0.5800079703330994,0.6424094179266256,0.024725274725274724,0.0027472527472527375,0.000887371429316941,-0.0034398436546325684,0.002605960166808363
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5865384615384616,0.5598202393868029,0.6282051282051282,0.391812865497076,0.6594427244582043,0.617499053478241,0.5999624649408135,0.028846153846153848,-0.03708791208791207,-0.039753005889936244,0.03405123949050903,-0.03984099281900377
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0.6263736263736264,0.6017636684303351,0.6417582417582418,0.45584045584045585,0.7076923076923077,0.5836799740791321,0.6389414215698407,0.028846153846153848,0.0027472527472527375,0.002190423153595966,0.00023216009140014648,-0.0008620361899766005
V,back,0.1,728,2032,0.12971193869701972,0.11728013833992094,0.6222527472527473,0.5984362740402532,0.6403508771929824,0.45325779036827196,0.7017001545595054,0.5836233496665955,0.6396413442275002,0.024725274725274724,-0.0013736263736263687,-0.0011369712364859286,0.0001755356788635254,-0.00016211353231709857
TA,back,0.1,728,2032,0.12971193869701972,0.11840340544638171,0.5892857142857143,0.5624460581728012,0.6263498920086393,0.3953488372093023,0.6656394453004623,0.618841290473938,0.5985050258912538,0.028846153846153848,-0.03434065934065933,-0.03712718710393792,0.035393476486206055,-0.04129843186856352
TV,back,0.1,728,2032,0.12971193869701972,0.11782160412420573,0.5810439560439561,0.5526805474250848,0.6252676659528907,0.375366568914956,0.6574074074074074,0.6182844638824463,0.5996488692621035,0.03021978021978022,-0.04258241758241754,-0.0468926978516544,0.034836649894714355,-0.040154588497713806
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0.6277472527472527,0.6033370667411105,0.6462882096069869,0.45584045584045585,0.7078825347758887,0.5838088393211365,0.6388326626345804,0.028846153846153848,0.004120879120879106,0.003763821464371375,0.000361025333404541,-0.0009707951252369007
T,back,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5741758241758241,0.5503805374214022,0.5991189427312775,0.39775910364145656,0.6542635658914728,0.6271665096282959,0.5922128540026098,0.034340659340659344,-0.0494505494505495,-0.049192707855336915,0.043718695640563965,-0.04759060375720747
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0.6291208791208791,0.6038985185644848,0.6445916114790287,0.45325779036827196,0.7138461538461538,0.5837811231613159,0.6408599906682252,0.024725274725274724,0.005494505494505475,0.004325273287745679,0.0003333091735839844,0.0010565329084079034
V,back,0.3,728,5478,0.3284235928836993,0.31663784584980237,0.6181318681318682,0.5952576117577597,0.6357615894039735,0.45125348189415043,0.6987577639751553,0.5837998986244202,0.6384912129580238,0.02197802197802198,-0.005494505494505475,-0.004315633518979456,0.0003520846366882324,-0.001312244801793483
TA,back,0.3,728,5478,0.3284235928836993,0.3190565047524637,0.5714285714285714,0.5456955159915339,0.5986696230598669,0.38202247191011235,0.6563944530046225,0.6311585903167725,0.5888195309845787,0.03296703296703297,-0.052197802197802234,-0.05387772928520529,0.04771077632904053,-0.05098392677523855
TV,back,0.3,728,5478,0.3284235928836993,0.3178575710346481,0.5728021978021978,0.548831881168881,0.6031042128603105,0.39215686274509803,0.6512345679012346,0.6282996535301208,0.5907661522777391,0.027472527472527472,-0.050824175824175866,-0.05074136410785812,0.044851839542388916,-0.049037305482078186
AV,back,0.3,728,5478,0.3284235928836993,0.31790623686895975,0.6208791208791209,0.5955727768886503,0.6401766004415012,0.44192634560906513,0.7046153846153846,0.5842130780220032,0.6398839392874948,0.027472527472527472,-0.0027472527472527375,-0.004000468388088874,0.0007652640342712402,8.04815276774784e-05
T,back,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5714285714285714,0.5530440978444654,0.5942350332594235,0.4273972602739726,0.6375,0.6621334552764893,0.5274634198556906,0.023351648351648352,-0.052197802197802234,-0.046529147432273765,0.07868564128875732,-0.11234003790412672
A,back,0.5,728,8752,0.516434327252749,0.5097512554011444,0.6318681318681318,0.6068969372044218,0.6548672566371682,0.4519774011299435,0.7138461538461538,0.5838668942451477,0.641165375767399,0.027472527472527472,0.008241758241758212,0.007323691927682674,0.0004190802574157715,0.001361918007581675
V,back,0.5,728,8752,0.516434327252749,0.5070405138339921,0.6222527472527473,0.5964997964997965,0.6373626373626373,0.4444444444444444,0.7076923076923077,0.5827145576477051,0.6392929729358982,0.024725274725274724,-0.0013736263736263687,-0.003073448776942711,-0.0007332563400268555,-0.0005104848239191329
TA,back,0.5,728,8752,0.516434327252749,0.5097090209341653,0.5714285714285714,0.5510973297917344,0.5942350332594235,0.42016806722689076,0.6388888888888888,0.6630551815032959,0.5240990211583068,0.024725274725274724,-0.052197802197802234,-0.04847591548500474,0.07960736751556396,-0.11570443660151053
TV,back,0.5,728,8752,0.516434327252749,0.508392279103225,0.570054945054945,0.5506924807128085,0.5850340136054422,0.4250681198910082,0.6419753086419753,0.6608421206474304,0.5264322436786469,0.024725274725274724,-0.0535714285714286,-0.048880764563930645,0.07739430665969849,-0.11337121408117035
AV,back,0.5,728,8752,0.516434327252749,0.508433879584609,0.6208791208791209,0.5951163408915393,0.6458797327394209,0.4350282485875706,0.7044410413476263,0.5836094617843628,0.6411471680221887,0.0260989010989011,-0.0027472527472527375,-0.004456904385199856,0.00016164779663085938,0.0013437102623714559
